2023-12-05,07:30,434
2023-12-05,07:45,819
2023-12-05,08:00,187
2023-12-05,08:15,22
2023-12-05,08:30,482
2023-12-05,08:45,117
2023-12-05,09:00,398
2023-12-05,09:15,74
2023-12-05,09:30,321
2023-12-05,09:45,189
2023-12-05,10:00,502
2023-12-05,10:15,935
2023-12-05,10:30,450
2023-12-05,10:45,349
2023-12-05,11:00,156
2023-12-05,11:15,387
2023-12-05,11:30,294
2023-12-05,11:45,80
2023-12-05,12:00,347
2023-12-05,12:15,193
2023-12-05,12:30,68
2023-12-05,12:45,14
2023-12-05,13:00,305
2023-12-05,13:15,458
2023-12-05,13:30,430
2023-12-05,13:45,31
2023-12-05,14:00,11
2023-12-05,14:15,103
2023-12-05,14:30,97
2023-12-05,14:45,186
2023-12-05,15:00,295
2023-12-05,15:15,497
2023-12-05,15:30,848
2023-12-05,15:45,52
2023-12-05,16:00,116
2023-12-05,16:15,1087
2023-12-05,16:30,233
2023-12-05,16:45,449
2023-12-05,17:00,225
2023-12-05,17:15,115
2023-12-05,17:30,399
2023-12-05,17:45,727
2023-12-05,18:00,128
2023-12-05,18:15,174
2023-12-05,18:30,483
2023-12-05,18:45,498
2023-12-05,19:00,62
2023-12-05,19:15,180
2023-12-05,19:30,292
2023-12-05,19:45,621
2023-12-05,20:00,462
2023-12-05,20:15,198
2023-12-05,20:30,473
2023-12-05,20:45,226
2023-12-05,21:00,399
2023-12-05,21:15,972
2023-12-05,21:30,329
2023-12-05,21:45,423
2023-12-05,22:00,191
2023-12-05,22:15,377
2023-12-05,22:30,438
2023-12-05,22:45,985
2023-12-05,23:00,323
2023-12-05,23:15,593
2023-12-05,23:30,105
2023-12-05,23:45,241
2023-12-06,00:00,267
2023-12-06,00:15,394
2023-12-06,00:30,564
2023-12-06,00:45,346
2023-12-06,01:00,450
2023-12-06,01:15,208
2023-12-06,01:30,248
2023-12-06,01:45,497
2023-12-06,02:00,135
2023-12-06,02:15,178
2023-12-06,02:30,60
2023-12-06,02:45,12
2023-12-06,03:00,382
